date_mmm_yy,ageunder16,age16_24,age25_44,age45_64,age65over
2023-07-01,0,0,3560,2413,538
2023-07-01,492,594,2114,2041,515
2023-07-01,9,80,402,234,24
2023-08-01,1262,1292,4351,2550,533
2023-08-01,619,554,2008,1739,418
2023-08-01,782,726,2369,606,42
2023-08-01,1251,281,779,213,15
2023-08-01,0,1011,0,0,0
2023-08-01,0,0,3572,2337,518
2023-08-01,480,566,1982,1944,491
2023-08-01,7,74,353,213,21
2023-09-01,1267,1323,4516,2571,535
2023-09-01,727,591,2115,1740,423
2023-09-01,799,762,2610,641,43
2023-09-01,1260,283,779,215,15
2023-09-01,0,1039,0,0,0
2023-09-01,7,1,3737,2356,520
2023-09-01,468,561,1906,1930,492
2023-09-01,7,69,343,216,25
2023-10-01,1223,1303,4536,2518,531
2023-10-01,717,610,2102,1705,430
2023-10-01,806,758,2744,654,40
2023-10-01,1217,279,756,209,14
2023-10-01,0,1023,0,0,0
2023-10-01,0,0,3780,2309,517
2023-10-01,417,545,1792,1864,491
2023-10-01,5,63,337,215,29
2023-11-01,1264,1328,4772,2462,672
2023-11-01,692,624,2244,1619,532
2023-11-01,847,787,2986,710,56
2023-11-01,1255,275,771,210,14
2023-11-01,0,1052,0,0,0
2023-11-01,0,0,4001,2252,658
2023-11-01,417,541,1786,1752,616
2023-11-01,8,62,335,220,40
2023-12-01,1264,1349,4873,2594,527
2023-12-01,687,631,2339,1703,414
2023-12-01,867,801,3059,750,35
2023-12-01,1258,269,779,203,13
2023-12-01,0,1079,0,0,0
2023-12-01,0,0,4094,2391,514
2023-12-01,397,548,1814,1844,492
2023-12-01,9,64,340,234,32
